,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
591,A_3073,Regression,57,R,Drama,Alejandro Amen�bar,Alejandro Amen�bar,54734,2015-10-02,106,Mod Producciones
592,A_3086,Hardcore Henry,67,R,Sci-Fi,Ilya Naishuller,Ilya Naishuller,9244565,2016-04-08,96,Bazelevs Production
593,A_3089,Radius,62,NOT RATED,Thriller,Caroline Labr�che,Caroline Labr�che,0,2018-01-04,93,EMA Films
594,A_3092,Prodigy,69,TV-MA,Drama,Alex Haughey,Alex Haughey,0,2018-03-13,80,High Noon California
595,A_3119,Love the Coopers,57,PG-13,Fantasy,Jessie Nelson,Steven Rogers,26284475,2015-11-13,107,CBS Films
596,A_3140,The Lazarus Effect,52,PG-13,Sci-Fi,David Gelb,Luke Dawson,25799043,2015-02-27,83,Blumhouse Productions
597,A_3143,Krampus,62,PG-13,Fantasy,Michael Dougherty,Todd Casey,42592530,2015-12-04,98,Legendary Entertainment
598,A_3148,The Crucifixion,50,R,Thriller,Xavier Gens,Chad Hayes,0,2017-10-06,90,Motion Picture Capital
599,A_3159,The Devil's Candy,64,NOT RATED,Horror,Sean Byrne,Sean Byrne,0,2017-03-17,79,Snoot Entertainment
600,A_3162,Yoga Hosers,43,PG-13,Fantasy,Kevin Smith,Kevin Smith,0,2016-09-02,88,Abbolita Productions
601,A_3166,Open Water 3: Cage Dive,41,R,Thriller,Gerald Rascionato,Gerald Rascionato,0,2017-08-18,80,Just One More Productions
602,A_3168,The Voices,64,R,Comedy,Marjane Satrapi,Michael R. Perry,0,2015-02-06,103,1984 Private Defense Contractors
603,A_3200,Shaun the Sheep Movie,74,PG,Comedy,Mark Burton,Mark Burton,19375982,2015-08-05,85,StudioCanal
604,A_3214,Strange Magic,58,PG,Comedy,Gary Rydstrom,David Berenbaum,12427046,2015-01-23,99,Filmbox
605,A_3225,Manchester by the Sea,78,R,Drama,Kenneth Lonergan,Kenneth Lonergan,47695120,2016-12-16,137,Amazon Studios
606,A_3230,Lion,81,PG-13,Documentary,Garth Davis,Saroo Brierley,51694854,2017-01-06,118,The Weinstein Company
607,A_3231,The Notebook,79,PG-13,Drama,Nick Cassavetes,Jeremy Leven,81001787,2004-06-25,123,New Line Cinema
608,A_3233,Gifted,76,PG-13,Drama,Marc Webb,Tom Flynn,24801212,2017-04-12,101,Dayday Films
609,A_3235,Breathe,71,PG-13,Documentary,Andy Serkis,William Nicholson,490131,2017-10-27,118,Imaginarium Productions
610,A_3235,Breathe,71,PG-13,Documentary,Andy Serkis,William Nicholson,490131,2017-10-27,118,Imaginarium Productions
611,A_3237,American Hustle,73,R,Drama,David O. Russell,Eric Warren Singer,150117807,2013-12-20,138,Columbia Pictures
612,A_3240,The Neighbor,47,R,Drama,Aaron Harvey,Richard Byard,0,2018,105,Michael Bruce Pictures
613,A_3245,Miss Sloane,75,R,Drama,John Madden,Jonathan Perera,3439171,2016-12-09,132,Transfilm
