B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0120,Victor Crowley,44,NOT RATED,Comedy;Horror,Adam Green,Adam Green,NA,NA,93,
B_0121,24 Hours to Live,43,R,Action & Adventure;Drama;Mystery & Suspense,Brian Smrz,Zach Dean;Jim McClain;Ron Mita,NA,2017-12-01,92,
B_0122,Batman: Gotham by Gaslight,83,R,Animation,Sam Liu,James Krieg;Jim Krieg,NA,NA,72,
B_0123,The Music of Silence,0,NOT RATED,Drama,Michael Radford,Anna Pavignano;Michael Radford,NA,2018-02-02,NA,
B_0124,The Snowman,8,R,Drama;Mystery & Suspense,Tomas Alfredson,Hossein Amini;Peter Straughan,6658715,2017-10-20,NA,Universal Studios
B_0125,My Little Pony: The Movie,47,PG,Action & Adventure;Animation;Comedy,Jayson Thiessen,Joe Ballarini;Meghan McCarthy;Rita Hsiao;Michael Vogel (VI),21732671,2017-10-06,NA,
B_0126,Step Sisters,29,PG-13,Comedy,Charles Stone III,Chuck Hayward,NA,2017-12-31,108,
B_0127,Marshall,83,PG-13,Drama,Reginald Hudlin,Jacob Koskoff;Michael Koskoff,9480742,2017-10-13,118,Open Road Films
B_0128,Friend Request,15,R,Art House & International;Horror;Mystery & Suspense,Simon Verhoeven,Matthew Ballen;Philip Koch;Simon Verhoeven,3758792,2017-09-22,92,
B_0129,Blade Runner 2049,87,R,Action & Adventure;Drama;Science Fiction & Fantasy,Denis Villeneuve,Michael Green;Hampton Fancher,91800042,2017-10-06,164,Warner Bros. Pictures
B_0130,The Polka King,59,NOT RATED,Comedy;Drama,Maya Forbes;Wallace Wolodarsky,Maya Forbes;Wallace Wolodarsky,NA,NA,94,Netflix
B_0131,"I, Daniel Blake",93,R,Art House & International;Drama,Ken Loach,Paul Laverty,252282,2017-06-02,100,Sundance Selects
B_0132,My Entire High School Sinking Into the Sea,83,PG-13,Animation;Comedy;Drama,Dash Shaw,Dash Shaw,65250,2017-04-14,75,GKIDS
B_0133,Crooked House,71,PG-13,Mystery & Suspense,Gilles Paquet-Brenner,Julian Fellowes;Tim Rose Price;Gilles Paquet-Brenner,NA,2017-12-22,115,
B_0134,Girl Flu.,100,NOT RATED,Comedy;Kids & Family,Dorie Barton,Dorie Barton,NA,NA,92,
B_0135,Chasing the Dragon,60,NOT RATED,Drama;Mystery & Suspense,Jason Kwan;Jing Wong,NA,456854,2017-09-29,128,Well Go USA Entertainment
B_0136,Freak Show,56,NOT RATED,Comedy;Drama,Trudie Styler,Patrick J. Clifton;Beth Rigazio,NA,2018-01-12,91,IFC Films
B_0137,Saturday Church,92,NOT RATED,Drama;Musical & Performing Arts;Science Fiction & Fantasy,Damon Cardasis,Damon Cardasis,NA,2018-01-12,82,
B_0138,Abe & Phil's Last Poker Game,67,R,Comedy;Romance,Howard Weiner,Howard Weiner,NA,2018-01-12,85,Gravitas Ventures
